RANK	SYL	COUNT	P(Syl)     	Sum(P(Syl))
290	ki:	781	0.0007727746	0.7409948508
291	sIs	779	0.0007707957	0.7417656465
292	gOt	778	0.0007698062	0.7425354526
293	Et	776	0.0007678272	0.7433032799
294	zEks	766	0.0007579326	0.7440612125
295	fi:l	765	0.0007569431	0.7448181556
296	to	763	0.0007549642	0.7455731197
297	StUn	762	0.0007539747	0.7463270944
298	vEm	758	0.0007500168	0.7470771112
299	QE6	758	0.0007500168	0.7478271280
300	daN	756	0.0007480379	0.7485751659
301	rIl	754	0.0007460589	0.7493212249
302	gry:s	746	0.0007381432	0.7500593681
303	dEN	746	0.0007381432	0.7507975113
304	Qi:	743	0.0007351748	0.7515326861
305	bEs	739	0.0007312169	0.7522639030
306	gu:n	734	0.0007262696	0.7529901726
307	tsaI	733	0.0007252801	0.7537154527
308	m@	732	0.0007242907	0.7544397434
309	faN	732	0.0007242907	0.7551640340
310	halp	731	0.0007233012	0.7558873352
311	ka	730	0.0007223117	0.7566096469
312	ts	722	0.0007143960	0.7573240429
313	z	721	0.0007134065	0.7580374494
314	ts@n	720	0.0007124170	0.7587498664
315	UN	713	0.0007054908	0.7594553572
316	no:	712	0.0007045013	0.7601598585
317	mE6ts	707	0.0006995539	0.7608594124
318	vaIs	702	0.0006946066	0.7615540190
319	nat	701	0.0006936171	0.7622476362
320	Sla:	697	0.0006896593	0.7629372954
321	mi	691	0.0006837225	0.7636210179
322	hUn	690	0.0006827330	0.7643037509
323	nOY	679	0.0006718488	0.7649755997
324	ne:Cs	678	0.0006708594	0.7656464591
325	SlECt	677	0.0006698699	0.7663163290
326	dO6t	670	0.0006629436	0.7669792726
327	h2:6n	669	0.0006619542	0.7676412268
328	zams	663	0.0006560174	0.7682972441
329	rEs	663	0.0006560174	0.7689532615
330	hOY	663	0.0006560174	0.7696092788
331	s@	648	0.0006411753	0.7702504542
332	haI	646	0.0006391964	0.7708896506
333	zu:	642	0.0006352385	0.7715248891
334	bm	642	0.0006352385	0.7721601276
335	to:	633	0.0006263333	0.7727864609
336	a:k	632	0.0006253438	0.7734118048
337	bE6k	625	0.0006184176	0.7740302223
338	QaUs	624	0.0006174281	0.7746476504
339	o	621	0.0006144597	0.7752621101
340	nI	618	0.0006114913	0.7758736014
341	ve:6	615	0.0006085229	0.7764821243
342	de	615	0.0006085229	0.7770906472
343	fIn	608	0.0006015966	0.7776922438
344	6t	605	0.0005986282	0.7782908720
345	laN	601	0.0005946703	0.7788855423
346	ga:r	601	0.0005946703	0.7794802126
347	baIts	601	0.0005946703	0.7800748829
348	O6	601	0.0005946703	0.7806695533
349	vI6t	599	0.0005926914	0.7812622447
350	las	599	0.0005926914	0.7818549361
351	kaIn	599	0.0005926914	0.7824476275
352	I6N	599	0.0005926914	0.7830403188
353	mo:	587	0.0005808178	0.7836211366
354	tse:	584	0.0005778494	0.7841989860
355	SaUn	583	0.0005768599	0.7847758459
356	@l	581	0.0005748810	0.7853507269
357	tsEn	578	0.0005719126	0.7859226394
358	de:	577	0.0005709231	0.7864935625
359	Cn	568	0.0005620179	0.7870555804
360	mark	561	0.0005550916	0.7876106720
361	haUpt	559	0.0005531127	0.7881637847
362	me:6	558	0.0005521232	0.7887159079
363	bi:	558	0.0005521232	0.7892680311
364	te	557	0.0005511337	0.7898191648
365	f	557	0.0005511337	0.7903702985
366	QEl	555	0.0005491548	0.7909194533
367	z6	551	0.0005451969	0.7914646503
368	gE6n	547	0.0005412391	0.7920058893
369	bU6k	546	0.0005402496	0.7925461389
370	lo:s	545	0.0005392601	0.7930853990
371	Op	540	0.0005343128	0.7936197118
372	je:	538	0.0005323338	0.7941520456
373	Qaxt	538	0.0005323338	0.7946843795
374	fOl	537	0.0005313444	0.7952157238
375	drIt	537	0.0005313444	0.7957470682
376	ha	534	0.0005283760	0.7962754442
377	Stat	532	0.0005263970	0.7968018412
378	a:ks	529	0.0005234286	0.7973252698
379	lEts	524	0.0005184813	0.7978437511
380	C@n	524	0.0005184813	0.7983622324
381	vEl	523	0.0005174918	0.7988797242
382	t@t	523	0.0005174918	0.7993972160
383	ble:m	522	0.0005165023	0.7999137184
384	fO6	519	0.0005135339	0.8004272523
385	zEk	517	0.0005115550	0.8009388073
386	i:6	517	0.0005115550	0.8014503623
387	zE6	515	0.0005095761	0.8019599384
388	tsvIS	515	0.0005095761	0.8024695145
389	Qe	515	0.0005095761	0.8029790906
390	kla:r	513	0.0005075971	0.8034866877
391	kar	503	0.0004977025	0.8039843902
392	g6	500	0.0004947341	0.8044791242
393	gUst	498	0.0004927551	0.8049718793
394	di	497	0.0004917656	0.8054636450
395	nEn	493	0.0004878078	0.8059514527
396	gra:	491	0.0004858288	0.8064372816
397	dnUN	491	0.0004858288	0.8069231104
398	dl	489	0.0004838499	0.8074069603
399	tsu:6	488	0.0004828604	0.8078898207
400	vo:l	484	0.0004789026	0.8083687233
401	mO6	482	0.0004769236	0.8088456469
402	k9nt	478	0.0004729658	0.8093186127
403	mYn	477	0.0004719763	0.8097905890
404	daU	476	0.0004709868	0.8102615758
405	daz	474	0.0004690079	0.8107305837
406	fEst	470	0.0004650500	0.8111956337
407	Qe:6s	469	0.0004640605	0.8116596942
408	axt	465	0.0004601027	0.8121197969
409	a:b	464	0.0004591132	0.8125789101
410	mo	463	0.0004581237	0.8130370338
411	jEtst	461	0.0004561448	0.8134931786
412	daNk	460	0.0004551553	0.8139483339
413	gI	457	0.0004521869	0.8144005209
414	aIm	457	0.0004521869	0.8148527078
415	i	456	0.0004511975	0.8153039052
416	fil	456	0.0004511975	0.8157551027
417	StEl	451	0.0004462501	0.8162013528
418	vI	450	0.0004452606	0.8166466134
419	Ok	449	0.0004442712	0.8170908846
420	zInt	448	0.0004432817	0.8175341663
421	tUN	447	0.0004422922	0.8179764586
422	fry	447	0.0004422922	0.8184187508
423	dINs	446	0.0004413028	0.8188600536
424	a:x	446	0.0004413028	0.8193013564
425	kOn	442	0.0004373449	0.8197387013
426	Ets	442	0.0004373449	0.8201760462
427	6n	442	0.0004373449	0.8206133911
428	fn	438	0.0004333870	0.8210467781
429	SaU	438	0.0004333870	0.8214801651
430	Qu:6	436	0.0004314081	0.8219115732
431	ham	435	0.0004304186	0.8223419918
432	daf	433	0.0004284397	0.8227704315
433	ni:	429	0.0004244818	0.8231949133
434	gUN	427	0.0004225029	0.8236174162
435	fry:	426	0.0004215134	0.8240389296
436	ka:	425	0.0004205239	0.8244594536
437	zOns	418	0.0004135977	0.8248730512
438	maxt	418	0.0004135977	0.8252866489
439	fax	418	0.0004135977	0.8257002466
440	Spi:l	418	0.0004135977	0.8261138442
441	Elf	418	0.0004135977	0.8265274419
442	laIC	417	0.0004126082	0.8269400501
443	fa:n	417	0.0004126082	0.8273526583
444	bu:	416	0.0004116187	0.8277642770
445	gans	415	0.0004106293	0.8281749063
446	fal	414	0.0004096398	0.8285845461
447	mUns	413	0.0004086503	0.8289931964
448	QElf	413	0.0004086503	0.8294018467
449	vI6	412	0.0004076609	0.8298095076
450	QIst	410	0.0004056819	0.8302151895
451	nOh	408	0.0004037030	0.8306188925
452	be:	406	0.0004017240	0.8310206166
453	sUm	405	0.0004007346	0.8314213511
454	he:6	405	0.0004007346	0.8318220857
455	as	404	0.0003997451	0.8322218308
456	ze	403	0.0003987556	0.8326205865
457	dEs	402	0.0003977662	0.8330183527
458	Stan	402	0.0003977662	0.8334161188
459	tI	400	0.0003957872	0.8338119061
460	dIC	398	0.0003938083	0.8342057144
461	tsOYk	397	0.0003928188	0.8345985332
462	vIs	395	0.0003908399	0.8349893731
463	SEfts	391	0.0003868820	0.8353762551
464	ru:	389	0.0003849031	0.8357611582
465	QI	389	0.0003849031	0.8361460613
466	la	388	0.0003839136	0.8365299749
467	tsEm	384	0.0003799558	0.8369099307
468	pla:n	384	0.0003799558	0.8372898864
469	o:6	381	0.0003769873	0.8376668738
470	pe:	380	0.0003759979	0.8380428717
471	So:	379	0.0003750084	0.8384178801
472	fa:	377	0.0003730295	0.8387909096
473	nUN	376	0.0003720400	0.8391629496
474	Sla:N	375	0.0003710505	0.8395340001
475	tSYs	373	0.0003690716	0.8399030717
476	a:m	373	0.0003690716	0.8402721433
477	El	372	0.0003680821	0.8406402254
478	tEm	369	0.0003651137	0.8410053392
479	fi:	368	0.0003641243	0.8413694634
480	kOs	367	0.0003631348	0.8417325982
481	zEp	360	0.0003562085	0.8420888067
482	rEC	359	0.0003552190	0.8424440258
483	laUp	359	0.0003552190	0.8427992448
484	C@	359	0.0003552190	0.8431544639
485	gYns	358	0.0003542296	0.8435086935
486	nu:	357	0.0003532401	0.8438619336
487	fa:rt	357	0.0003532401	0.8442151737
488	tsvaIns	355	0.0003512612	0.8445664349
489	f@n	355	0.0003512612	0.8449176960
490	ns	352	0.0003482928	0.8452659888
491	dUN	350	0.0003463138	0.8456123027
492	va	349	0.0003453244	0.8459576270
493	lEn	349	0.0003453244	0.8463029514
494	Qar	348	0.0003443349	0.8466472863
495	Em	347	0.0003433454	0.8469906317
496	ve:6n	346	0.0003423560	0.8473329877
497	g@s	346	0.0003423560	0.8476753436
498	Sn	346	0.0003423560	0.8480176996
499	draIns	345	0.0003413665	0.8483590661
500	Qy:	342	0.0003383981	0.8486974642
501	tns	341	0.0003374086	0.8490348728
502	ts@	339	0.0003354297	0.8493703025
503	nE:	337	0.0003334508	0.8497037533
504	QUns	337	0.0003334508	0.8500372040
505	Ins	337	0.0003334508	0.8503706548
506	at	336	0.0003324613	0.8507031160
507	nas	335	0.0003314718	0.8510345878
508	nICts	335	0.0003314718	0.8513660597
509	sICs	334	0.0003304823	0.8516965420
510	ra~:	333	0.0003294929	0.8520260349
511	SEf	333	0.0003294929	0.8523555278
512	fra:	332	0.0003285034	0.8526840312
513	laIt	331	0.0003275139	0.8530115451
514	n@m	330	0.0003265245	0.8533380696
515	gUs	329	0.0003255350	0.8536636046
516	xN	328	0.0003245455	0.8539881501
517	a:mt	327	0.0003235561	0.8543117062
518	zam	326	0.0003225666	0.8546342728
519	r6	326	0.0003225666	0.8549568394
520	za	325	0.0003215771	0.8552784165
521	dU6C	325	0.0003215771	0.8555999937
522	glaUb	324	0.0003205877	0.8559205813
523	t@s	322	0.0003186087	0.8562391901
524	Ef	322	0.0003186087	0.8565577988
525	braU	319	0.0003156403	0.8568734391
526	haUp	318	0.0003146509	0.8571880900
527	Spe:	318	0.0003146509	0.8575027408
528	nax	317	0.0003136614	0.8578164022
529	n@s	316	0.0003126719	0.8581290741
530	fo:	315	0.0003116825	0.8584407566
531	st	313	0.0003097035	0.8587504601
532	gEs	313	0.0003097035	0.8590601636
533	StYnt	312	0.0003087140	0.8593688777
534	QaU	310	0.0003067351	0.8596756128
535	ta	309	0.0003057456	0.8599813584
536	tEls	309	0.0003057456	0.8602871041
537	nan	307	0.0003037667	0.8605908708
538	mEn	300	0.0002968404	0.8608877112
539	SnEl	300	0.0002968404	0.8611845516
540	I6	300	0.0002968404	0.8614813921
541	QEf	299	0.0002958510	0.8617772430
542	tEn	298	0.0002948615	0.8620721045
543	pri:	297	0.0002938720	0.8623659765
544	kU6ts	297	0.0002938720	0.8626598486
545	halt	296	0.0002928826	0.8629527311
546	Sla:k	296	0.0002928826	0.8632456137
547	gram	295	0.0002918931	0.8635375068
548	Ent	295	0.0002918931	0.8638293999
549	On	290	0.0002869457	0.8641163456
550	Of	290	0.0002869457	0.8644032914
551	zi:m	289	0.0002859563	0.8646892476
552	z@n	285	0.0002819984	0.8649712461
553	r@s	283	0.0002800195	0.8652512655
554	SaUt	283	0.0002800195	0.8655312850
555	y:6	281	0.0002780405	0.8658093255
556	vEk	281	0.0002780405	0.8660873661
557	x@	280	0.0002770511	0.8663644171
558	s6	279	0.0002760616	0.8666404787
559	sIks	278	0.0002750721	0.8669155509
560	mUz	277	0.0002740827	0.8671896335
561	dENk	277	0.0002740827	0.8674637162
562	tu:t	276	0.0002730932	0.8677368094
563	l@n	276	0.0002730932	0.8680099026
564	tu	275	0.0002721037	0.8682820063
565	fE:6	275	0.0002721037	0.8685541101
566	maIm	273	0.0002701248	0.8688242348
567	bu:x	272	0.0002691353	0.8690933702
568	tUns	271	0.0002681459	0.8693615160
569	tIk	271	0.0002681459	0.8696296619
570	nEt	270	0.0002671564	0.8698968183
571	past	269	0.0002661669	0.8701629852
572	sns	267	0.0002641880	0.8704271732
573	haIs	267	0.0002641880	0.8706913612
574	ti:f	266	0.0002631985	0.8709545597
575	mO6Ns	266	0.0002631985	0.8712177582
576	tja	265	0.0002622090	0.8714799672
577	s@n	265	0.0002622090	0.8717421763
578	mhm	265	0.0002622090	0.8720043853
579	ts@l	264	0.0002612196	0.8722656049
580	tra:l	264	0.0002612196	0.8725268245
581	gi:p	264	0.0002612196	0.8727880441
582	vi:6n	263	0.0002602301	0.8730482742
583	d	263	0.0002602301	0.8733085043
584	als	263	0.0002602301	0.8735687344
585	k9	262	0.0002592406	0.8738279750
586	nE	261	0.0002582512	0.8740862262
587	vE:6n	260	0.0002572617	0.8743434879
588	nt	259	0.0002562722	0.8745997602
589	Yl	259	0.0002562722	0.8748560324
590	frOY	258	0.0002552828	0.8751113152
591	m9Ct	257	0.0002542933	0.8753656085
592	QEm	257	0.0002542933	0.8756199018
593	baIm	256	0.0002533038	0.8758732056
594	bE6	256	0.0002533038	0.8761265094
595	tsm	255	0.0002523144	0.8763788238
596	tIS	255	0.0002523144	0.8766311382
597	mar	255	0.0002523144	0.8768834525
598	SlEC	255	0.0002523144	0.8771357669
599	zIs	254	0.0002513249	0.8773870918
600	rEk	254	0.0002513249	0.8776384167
601	hE	252	0.0002493460	0.8778877627
602	SlOs	252	0.0002493460	0.8781371086
603	rUm	251	0.0002483565	0.8783854651
604	glaU	251	0.0002483565	0.8786338216
605	Qi	250	0.0002473670	0.8788811886
606	praIs	248	0.0002453881	0.8791265767
607	fe	248	0.0002453881	0.8793719648
608	za:m	247	0.0002443986	0.8796163634
609	d6t	247	0.0002443986	0.8798607620
610	It	247	0.0002443986	0.8801051607
611	va:l	246	0.0002434092	0.8803485698
612	plats	246	0.0002434092	0.8805919790
613	faU	246	0.0002434092	0.8808353881
614	za:k	244	0.0002414302	0.8810768183
615	var	244	0.0002414302	0.8813182486
616	tsEt	243	0.0002404407	0.8815586893
617	mu	243	0.0002404407	0.8817991301
618	S2:	243	0.0002404407	0.8820395708
619	dOp	242	0.0002394513	0.8822790221
620	rUN	241	0.0002384618	0.8825174839
621	fE6n	241	0.0002384618	0.8827559457
622	kUk	239	0.0002364829	0.8829924286
623	dar	239	0.0002364829	0.8832289115
624	gi:t	238	0.0002354934	0.8834644049
625	SaIn	238	0.0002354934	0.8836998983
626	zEt	237	0.0002345039	0.8839344022
