ipa_trigram,frequency
t_a_t,304
h_a_p,304
aː_b_ɛ,304
v_ai_z,303
ɪ_s_ɪ,303
œ_n_ə,302
n_d_uː,302
ɛ_l_ç,302
z_ə_s,301
s_ɪ_ɐ,301
n_eː_d,301
ç_t_n,301
ʊ_ŋ_ə,300
s_ɛ_ɐ,300
ɐ_n_ə,300
ʃ_r_iː,299
oː_n_g,299
iː_h_a,299
ɐ_n_eː,299
v_ɪ_t,298
l_ʊ_s,298
l_ɛ_k,298
t_au_f,297
l_g_eː,297
aː_l_d,297
n_v_r,296
n_f_oː,296
ɛ_l_n,296
t_r_aː,295
ç_j_ɛ,295
z_v_eː,294
z_iː_d,293
oː_t_r,293
ç_ɪ_n,293
aː_f_oː,293
s_t_z,292
n_j_ɛ,292
l_eː_z,292
ɪ_s_h,292
t_eː_ɐ,291
oː_d_eː,291
ç_ai_n,291
ç__p:__z,291
n_eː_n,290
ɐ_n_eː,289
t_ʊ_ŋ,289
t_ə_v,289
s_t_g,289
iː_z_ɪ,289
g_eː_d,289
b_ɐ_v,289
r_ai_t,288
ʏ_s_ə,287
uː_n_ɪ,287
t_ai_l,287
s_k_a,287
l_t_z,287
au_ç_ʃ,287
a_n_g,287
b_r_au,286
aː_n_z,286
z_oː_a,285
t_aː_l,285
z_oː_b,284
ɛ_ɐ_b,284
eː_f_a,284
ɐ_m_a,284
ɐ_ɪ_n,284
aː_h_aː,284
n_t_g,283
d_iː_t,283
n_b_eː,282
ə_m_aː,282
eː_z_eː,282
t_s_m,281
n_t_ʃ,281
h_eː_h,281
_p:__z_ɪ,281
eː_d_a,280
aː_a_l,280
z_oː_l,279
t_aː_t,279
h_œ_ɐ,279
f_ɛ_l,279
aː_t_ə,279
t_s_au,278
ʃ_ai_s,278
p_r_a,278
oː_n_aː,278
au_ə_n,278
ɪ_ɐ_h,277
t_oː_t,276
r_ʏ_k,276
ɪ_k_s,276
ə_n_l,276
d_aː_r,276
a_s_eː,276
z_oː__p:_,275
r_ʊ_ŋ,275
m_g_eː,275
f_t_s,275
eː_g_aː,275
n_t_ɐ,274
m_t_s,274
m_a_l,274
eː_ɪ_ç,274
aː_l_ɪ,274
aː_b_ai,274
t_s_k,273
p_d_aː,273
n_ɔ_ɐ,273
aː_s_t,273
g_eː_k,272
eː_ɐ_l,272
ç_ɪ_ɐ,271
n_z_ai,270
k_t_d,270
iː_k_t,270
f_eː_r,270
ai_d_eː,270
v_r_d,269
ɪ_t_ɪ,269
ɪ_ç_ɛ,269
f_g_eː,269
ç_v_ɪ,269
ʃ_t_eː,268
ɛ_n_m,268
ə_d_a,268
s_v_a,267
n__p:__f,267
iː_v_aː,267
eː_s_h,267
r_ɔi_n,266
k_oː_m,266
iː_t_s,266
eː_s_n,266
ʏ_ɐ_d,265
uː_d_iː,265
oː_z_oː,265
oː_g_eː,265
m_ɪ_ʃ,265
ɪ_s_z,265
f_r_a,265
t_g_a,264
t_d_ɪ,264
r_oː_s,264
ai_b_ə,264
oː_n_v,263
ɪ_n_f,263
ɛ_ɐ_m,263
aː_s_j,263
s_g_ɪ,262
l_d_iː,262
ɛ_l_b,262
ɐ_v_iː,262
a_s_m,262
p_s_t,261
n_t__p:_,261
ɪ_ç_ai,261
z_ɪ_t,260
t_s_ʃ,260
r_ɛ_n,260
oː_n_b,260
n_ɪ_k,260
ɪ_ŋ_k,260
ç_t_v,260
n_m_ai,259
k_ʊ_ɐ,259
b_ɐ_n,259
oː_b_l,258
ɪ_s_n,258
d_aː_z,258
ç_ɪ_ç,258
b_eː_k,258
h_p_ɪ,257
eː_m_ə,257
b_ɪ_l,257
r_a_l,256
m_ɔ_ɐ,256
k_t_j,256
a_ŋ_k,256
yː_ɐ_d,255
ɔ_l_ə,255
n_g_ɛ,255
g_ai_l,255
eː_h_ɐ,255
eː_h_a,255
z_eː_m,254
t_s_f,254
ʃ_t_r,254
g_r_oː,254
b_eː_r,254
aː_s_ʃ,254
x_g_l,253
uː_z_a,253
ɪ_n_z,253
ɛ_n_ʃ,253
t_m_a,252
ɔ_s_t,252
n_t_k,252
ɪ_t_ə,252
ai_n_a,252
l_ɪ_m,251
k_aː_m,251
ç_m_eː,251
aː_s__p:_,251
ʊ_k_t,250
s_n_ɔ,250
ə_ɪ_s,250
ç_k_ai,250
ɪ_ç_ə,249
ɐ_t_d,249
ai_n_b,249
t_s_ʊ,248
r_ai_b,248
p_g_eː,248
d_iː_f,248
a_p_g,248
ʊ_ŋ_s,247
ɔi_r_oː,247
k_ɪ_ç,247
au_ç_t,247
aː_r_uː,247
t_b_eː,246
r_eː_d,246
n_ʃ_oː,246
iː_ɪ_s,246
ç_ʊ_n,246
s_ɪ_n,245
m_ɐ_z,245
d_iː_a,245
aː_l_v,245
z_oː_h,244
ɪ_n_ə,244
ə_z_oː,244
ɐ_z_ɪ,244
p_ɛ_ɐ,243
ç_m_ʊ,243
s_p_a,242
ɔ_n_d,242
m_ɛ_s,242
k_t_h,242
eː_s_d,242
ç_d_eː,242
b_ai_s,242
aː_n_eː,242
a_f_t,242
oː_m_aː,241
eː_ɐ_m,241
z_oː_r,240
v_ɔ_ɐ,240
f_ɛ_n,240
eː_l_eː,240
aː_l_n,240
v_eː_k,239
uː_n_z,239
t_s_h,239
n_k_œ,239
ai_s_ə,239
ʃ_t_ɛ,238
ɔ_x_g,238
l_d_eː,238
ɐ_v_ɪ,238
ai_s_p,238
aː_s_au,238
n_d_ɐ,237
n_au_s,237
m_s_t,237
j_aː_oː,237
ç_n_eː,237
ç_f_ɪ,237
aː_n_a,237
a_l_p,237
s_g_l,236
t_m_eː,235
t_f_oː,235
oː_k_ə,235
eː_n_f,235
d_ɐ_d,235
au_t_oː,235
t_s_z,234
t_eː_h,234
r_aː_n,234
eː_r_a,234
ɐ_d_r,234
aː_ʃ_oː,234
oː_t_aː,233
ɐ_l_eː,233
v_ai_t,232
ŋ_eː_f,232
ə_ʃ_t,232
s_f_ɛ,231
oː_n_f,231
n_v_oː,231
j_aː_ʊ,231
ə_p_r,231
b_ɛ_r,231
t_ə_z,230
t__p:__f,230
ɔ_x_ɪ,230
oː_d_a,230
ɪ_r_ə,230
iː_d_eː,230
d_aː_k,230
ɐ_f_ɛ,230
s_aː_b,229
g_l_p,229
g_ə_f,229
ɐ_t_r,229
s_eː_ɐ,228
eː_t_d,228
t_ə__p:_,227
oː_ʊ_n,227
n_f_t,227
g_a_ŋ,227
ç__p:__f,227
x_d_eː,226
v_iː_v,226
n_ɛ_l,226
j_eː_m,226
j_aː_r,226
g_aː_l,226
ə_v_aː,226
a_ɐ_s,226
a_ɐ_k,226
_p:__z_iː,226
v_eː_ɐ,225
t_k_ai,225
ʃ_a_f,225
s_eː_ɐ,225
f_oː_m,225
ɛ_ʃ_ɪ,225
z_ɛ_n,224
t_aː_n,224
oː_n_a,224
l_a_n,224
iː_l_t,224
eː_n_eː,224
n_v_ɔ,223
n_eː_b,223
n_aː_m,223
au_f_t,223
s_g_ɛ,222
oː_n_n,222
m_aː_t,222
l_t_v,222
l_ɛ_ç,222
ɪ_s_ə,222
g_r_ʊ,222
b_eː_v,222
au_ç_v,222
aː_t_m,222
_p:__f_a,222
x_g_eː,221
s_t_oː,221
ɛ_t_r,221
ɐ_l_ɛ,221
t_ɪ_g,220
n_t_b,220
eː_g_ɛ,220
d_ɐ_n,220
ai_ʊ_n,220
s_au_f,219
ɔ_m_p,219
l_aː_t,219
ɐ_ʃ_oː,219
ʏ_s_t,217
t_g_ɛ,217
t_ɛ_ç,217
ɪ_ŋ_t,217
au_p_d,217
t_ʃ_t,216
s_k_ɔ,216
oː_g_aː,216
g_ə_k,216
ç_ɛ_ɐ,216
n_t_au,215
j_eː_n,215
ɪ_ç_s,215
f_ʊ_n,215
au_ç__p:_,215
aː_s_a,215
x_t_d,214
m_ɐ_n,214
l_ɪ_ŋ,214
ɪ_ç_ʊ,214
ə_k_l,214
v_ɪ_s,213
ʃ_l_ɛ,213
p_r_ɛ,213
ʊ_x_ə,212
s_t_ʊ,212
s_d_uː,212
p_a_n,212
l_t_ɐ,212
ɪ_s_eː,212
ɪ_s_au,212
ɪ_ç_oː,212
ɪ_ɐ_m,212
ə_h_a,212
ç_m_a,212
z_oː_ʊ,211
r_au_p,211
oː_n_k,211
n_eː_ɐ,211
m_ɪ_s,211
m_b_ai,211
ə_n_ai,211
ɐ_ʃ_t,211
aː_k_l,211
t_f_ɛ,210
ɔ_t_s,210
oː_r_ɪ,210
n_p_r,210
ɐ_n_t,210
aː_l_z,210
oː_n_ʊ,209
ə_j_aː,209
s_g_aː,208
ɔ_ɐ_d,208
l_ɪ_n,208
j_aː_ɐ,208
eː_z_ʊ,208
ʃ_p_iː,207
s_aː_l,207
ɪ_n_s,207
eː_l_aː,207
ai_n_v,207
j_aː_eː,206
f_d_eː,206
ç_aː_b,206
s_d_r,205
l_d_a,205
ɪ_ç_l,205
iː_d_a,205
f_r_yː,205
f_r_ai,205
eː_f_ɛ,205
d_ɛ_s,205
b_eː_t,205
aː_ɐ_z,205
a_x_m,205
ai_n_g,204
aː_t_eː,204
aː_l_ə,204
uː_m_b,203
t_s_a,203
oː_m_a,203
n_eː_r,203
n_f_r,202
ɐ_oː_d,202
ai_l_v,202
aː_m_v,202
t_r_a,201
n_g_a,201
iː_g_ə,201
ɛ_r_au,201
a_n_ç,201
t_r_ai,200
s_iː_m,200
r_ɔ_t,200
p_d_eː,200
m_ʊ_n,200
